job_id,title,job_family,preferred_specialization,seniority_level,min_experience,education_requirement,required_skills,required_certifications
J063,NLP Engineer,Research,NLP,Mid,2.6,Master's,PostgreSQL|MLflow|Spark|C++|NLP|Matplotlib|Pandas|Kubernetes|Hadoop|Airflow,1
J064,Data Scientist,Research,Data Science,Junior,0.4,Bachelor's,Leadership|Hugging Face|Scikit-Learn|Docker,0
J065,NLP Engineer,Research,NLP,Mid,3.4,Master's,Probability|Azure|Looker|Deep Learning|Kubeflow|CatBoost|R,0
J066,Computer Vision Engineer,Research,Computer Vision,Senior,11.0,Associate's,AWS|NLP|Hadoop|Kafka|Spark|MySQL|LightGBM|Excel|Stakeholder Management,1
J067,Research Scientist,Research,Machine Learning,Senior,9.2,Bachelor's,Plotly|Feature Engineering|PyTorch|Excel|Hugging Face|TensorFlow|CatBoost|Keras|Kubeflow|Tableau,2
J068,Computer Vision Engineer,Research,Computer Vision,Junior,1.6,High School,Problem Solving|PostgreSQL|Spark|Tableau|NLP,0
J069,ML Engineer,Engineering,Machine Learning,Mid,4.3,Master's,NumPy|Kubeflow|CatBoost|C++|Airflow|Probability|Statistics|AWS,1
J070,ML Engineer,Engineering,Machine Learning,Mid,2.4,Bachelor's,Machine Learning|Data Modeling|MLflow|Docker,1
J071,Data Engineer,Engineering,Data Engineering,Mid,3.3,Master's,Communication|Data Modeling|Go|Excel|Google Sheets|Python|MATLAB|ETL Pipelines|MongoDB,0
J072,Research Scientist,Research,Machine Learning,Mid,3.9,Master's,Hugging Face|NoSQL|GCP|Problem Solving|XGBoost,0
J073,Quantitative Analyst,Finance,Quantitative Finance,Junior,1.7,Bachelor's,Scikit-Learn|Communication|Docker|MATLAB|Model Evaluation|SQL|NoSQL|Problem Solving,0
J074,Data Analyst,Analytics,Data Science,Senior,6.5,Master's,Pandas|Business Analytics|Seaborn|Spark|Kubernetes|NoSQL|Linear Algebra|Leadership|SQL,1
J075,ML Engineer,Engineering,Machine Learning,Senior,11.4,Master's,NumPy|Model Evaluation|Plotly|MLflow|Critical Thinking|Scala|A/B Testing|Probability|Communication|Hadoop|SQL|Hugging Face,0
J076,AI Product Analyst,Analytics,Data Science,Junior,0.9,Bachelor's,Java|Deep Learning|Linux|LightGBM|Terraform|NumPy,1
J077,NLP Engineer,Research,NLP,Senior,11.3,Master's,Looker|Computer Vision|Statistics|Feature Engineering|Critical Thinking|Teamwork|PyTorch,1
J078,Business Intelligence Analyst,Analytics,Business Intelligence,Junior,1.1,Bachelor's,Data Wrangling|Power BI|Keras|Machine Learning|Project Management,0
J079,Business Intelligence Analyst,Analytics,Business Intelligence,Junior,1.2,Bachelor's,NumPy|Kafka|ETL Pipelines|Google Sheets|Power BI|Feature Engineering|Linux|Deep Learning|Machine Learning,2
J080,MLOps Engineer,Engineering,MLOps,Mid,3.1,Master's,Kubeflow|Plotly|Communication|NLP|MATLAB,1
J081,ML Engineer,Engineering,Machine Learning,Mid,4.6,Master's,Data Wrangling|Docker|Matplotlib|Feature Engineering|Kubeflow|Go|MySQL|Critical Thinking,0
J082,Business Intelligence Analyst,Analytics,Business Intelligence,Mid,3.0,Associate's,Plotly|LightGBM|Power BI|Azure|Kafka|Communication,1
J083,Data Engineer,Engineering,Data Engineering,Mid,4.8,Master's,Power BI|NumPy|Data Modeling|Business Analytics|Linear Algebra,2
J084,Business Intelligence Analyst,Analytics,Business Intelligence,Senior,7.5,Master's,SQL|Kafka|Statistics|MySQL|GCP|ETL Pipelines|NumPy|Kubeflow|Time Series Analysis,2
J085,Research Scientist,Research,Machine Learning,Senior,8.5,Master's,Google Sheets|Azure|CatBoost|Scala,1
J086,NLP Engineer,Research,NLP,Mid,3.9,Master's,Data Wrangling|Teamwork|GCP|MongoDB|Python|PostgreSQL|Stakeholder Management,1
J087,ML Engineer,Engineering,Machine Learning,Junior,0.7,Master's,GCP|MLflow|Terraform|ETL Pipelines|TensorFlow|NoSQL|Time Series Analysis,1
J088,Research Scientist,Research,Machine Learning,Junior,0.9,Bachelor's,Machine Learning|LightGBM|Leadership|Airflow,2
J089,Data Scientist,Research,Data Science,Senior,6.5,Master's,CatBoost|Reinforcement Learning|AWS|Kubernetes|Model Evaluation|Time Series Analysis|Critical Thinking|NumPy|TensorFlow|PyTorch|Kubeflow,0
J090,Data Analyst,Analytics,Data Science,Senior,6.9,Associate's,Julia|XGBoost|Time Series Analysis|Teamwork|Problem Solving|Linear Algebra|Statistics|Airflow|Python|Excel|TensorFlow,1
J091,AI Product Analyst,Analytics,Data Science,Junior,0.8,Bachelor's,Problem Solving|Reinforcement Learning|Kafka|CI/CD|Kubernetes|Pandas|Model Evaluation|TensorFlow|Machine Learning,0
J092,Quantitative Analyst,Finance,Quantitative Finance,Mid,4.0,Master's,Terraform|Time Series Analysis|Matplotlib|Hugging Face|Kubernetes,0
J093,NLP Engineer,Research,NLP,Mid,4.7,Bachelor's,Leadership|Data Wrangling|GCP|C++|Plotly|Python|Power BI,1
J094,NLP Engineer,Research,NLP,Mid,2.7,PhD,Kafka|MongoDB|Model Evaluation|Tableau|Julia|PostgreSQL|NumPy|Problem Solving|Leadership,0
J095,Research Scientist,Research,Machine Learning,Junior,1.3,Bachelor's,Python|GCP|Java|Excel|Hugging Face|ETL Pipelines|MySQL|Terraform,2
J096,MLOps Engineer,Engineering,MLOps,Junior,0.6,Associate's,LightGBM|Computer Vision|Pandas|Kubeflow|Java|Machine Learning|Kubernetes|Docker|PostgreSQL|C++|Model Evaluation|Kafka,1
J097,AI Research Engineer,Research,Machine Learning,Junior,0.6,Bachelor's,MLflow|Looker|LightGBM|CatBoost|Seaborn|Statistics|Project Management|Feature Engineering,0
J098,NLP Engineer,Research,NLP,Junior,0.1,PhD,NLP|Reinforcement Learning|A/B Testing|Plotly|Data Modeling|Teamwork|Azure|Kubeflow|Scikit-Learn|Kafka|Keras|NoSQL,0
J099,Data Analyst,Analytics,Data Science,Mid,3.3,PhD,Kafka|MongoDB|AWS|Data Wrangling|LightGBM|CI/CD|Linear Algebra|Problem Solving,0
J100,ML Engineer,Engineering,Machine Learning,Senior,5.8,Master's,PyTorch|NumPy|CI/CD|Kafka|Scala|GCP|Kubernetes|Airflow|CatBoost|MATLAB|Matplotlib,0
